[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.4, 'regression_test_failure'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.4, 'regression_test_failure'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.4, 'regression_test_failure'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.4, 'regression_test_failure'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.2, 'patch_ineffective'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (1.0, '')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.2, 'patch_ineffective'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.4, 'regression_test_failure'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed')]
[SCR] Group scores: [(-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.85, 'patch_apply_hunk_failed'), (-0.95, 'patch_apply_malformed')]
